id_custo,id_processo,tipo_custo,valor_brl
1,1,Frete Internacional,708.47
2,1,Seguro,317.28
3,1,Imposto Importação,6004.15
4,1,ICMS,5992.21
5,1,Armazenagem,828.38
6,1,Despachante,1230.56
7,2,Frete Internacional,186542.92
8,2,Seguro,20184.63
9,2,Imposto Importação,231498.31
10,2,ICMS,452951.57
11,2,Armazenagem,3732.39
12,2,Despachante,4770.61
13,3,Frete Internacional,4451.69
14,3,Seguro,2398.06
15,3,Imposto Importação,42478.25
16,3,ICMS,79199.15
17,3,Armazenagem,1967.07
18,3,Despachante,4176.33
19,4,Frete Internacional,12849.89
20,4,Seguro,707.66
21,4,Imposto Importação,7001.65
22,4,ICMS,14322.62
23,4,Armazenagem,2730.85
24,4,Demurrage,4996.62
25,4,Despachante,6184.7
26,5,Frete Internacional,2487865.46
27,5,Seguro,51770.06
28,5,Imposto Importação,504749.54
29,5,ICMS,637591.4
30,5,Armazenagem,3095.18
31,5,Despachante,2063.28
32,6,Frete Internacional,42805.88
33,6,Seguro,13739.65
34,6,Imposto Importação,220380.69
35,6,ICMS,261610.71
36,6,Armazenagem,1637.78
37,6,Demurrage,5164.41
38,6,Despachante,2135.94
39,7,Frete Internacional,1665237.12
40,7,Seguro,143397.26
41,7,Imposto Importação,1367334.53
42,7,ICMS,2336127.7
43,7,Armazenagem,3256.13
44,7,Demurrage,6935.53
45,7,Despachante,3594.03
46,8,Frete Internacional,44760.81
47,8,Seguro,1449.64
48,8,Imposto Importação,17017.35
49,8,ICMS,20818.04
50,8,Armazenagem,1674.61
51,8,Despachante,2643.94
52,9,Frete Internacional,27581.3
53,9,Seguro,1302.26
54,9,Imposto Importação,43877.69
55,9,ICMS,30681.89
56,9,Armazenagem,1806.44
57,9,Despachante,1735.4
58,10,Frete Internacional,1529.06
59,10,Seguro,483.61
60,10,Imposto Importação,15703.3
61,10,ICMS,13255.94
62,10,Armazenagem,930.7
63,10,Despachante,1737.58
64,11,Frete Internacional,20289.96
65,11,Seguro,3130.24
66,11,Imposto Importação,50059.2
67,11,ICMS,47665.73
68,11,Armazenagem,3374.56
69,11,Despachante,1641.43
70,12,Frete Internacional,33333.42
71,12,Seguro,13116.18
72,12,Imposto Importação,166221.32
73,12,ICMS,176456.63
74,12,Armazenagem,4249.74
75,12,Despachante,2903.62
76,13,Frete Internacional,26049.6
77,13,Seguro,779.24
78,13,Imposto Importação,15278.29
79,13,ICMS,18391.66
80,13,Armazenagem,625.52
81,13,Despachante,2107.86
82,14,Frete Internacional,94697.77
83,14,Seguro,10087.11
84,14,Imposto Importação,200959.65
85,14,ICMS,181811.35
86,14,Armazenagem,3336.57
87,14,Despachante,1678.45
88,15,Frete Internacional,3001.77
89,15,Seguro,1778.22
90,15,Imposto Importação,19804.74
91,15,ICMS,21048.27
92,15,Armazenagem,4161.97
93,15,Despachante,3719.48
