id_item,id_processo,id_produto,quantidade,valor_total_usd
1,1,319,67,3216.51
2,1,261,16,2806.36
3,1,246,404,3540.17
4,2,414,194,44722.71
5,2,119,195,416899.07
6,2,31,311,48577.99
7,3,390,131,23907.57
8,3,169,117,10787.57
9,3,362,54,54243.55
10,4,242,332,8196.07
11,4,260,71,8870.07
12,5,40,108,9073.8
13,5,458,483,887530.57
14,6,495,326,110967.03
15,6,400,381,10305.38
16,6,223,399,11030.85
17,6,162,379,8871.7
18,6,218,75,179599.75
19,7,371,374,2854443.64
20,7,30,459,17969.19
21,7,145,443,26745.21
22,7,5,187,7115.72
23,7,466,239,11233.13
24,8,224,476,25691.72
25,9,144,224,13267.96
26,9,387,497,16405.07
27,9,105,21,1665.05
28,9,305,150,9982.07
29,10,165,158,6464.36
30,10,473,299,13151.62
31,11,45,389,36139.33
32,11,88,263,20609.68
33,12,217,48,19513.02
34,12,405,394,18646.34
35,12,395,297,37561.16
36,12,59,215,101331.15
37,12,356,115,38247.57
38,13,430,302,12076.55
39,13,93,366,15343.88
40,14,148,243,16475.1
41,14,181,378,74690.89
42,14,475,165,18076.62
43,14,133,161,52336.78
44,14,77,292,77126.67
45,15,126,33,18503.55
46,15,328,159,12510.96
47,16,89,492,58175.45
48,16,420,484,48163.93
49,17,294,338,77719.04
50,18,387,283,8939.1
51,18,3,342,28358.1
52,19,167,198,26194.74
53,19,355,494,94851.72
54,19,338,291,59050.46
55,19,111,78,16581.67
56,19,235,323,29518.25
57,20,119,330,681396.17
58,21,431,122,23517.42
59,21,70,153,28356.88
60,21,344,18,1994.42
61,22,91,64,16776.46
62,22,266,362,204932.12
63,22,201,344,927237.65
64,22,5,330,11779.97
65,22,129,292,47348.45
66,23,277,122,8837.86
67,23,477,114,31142.26
68,23,317,423,107743.2
69,23,437,212,14931.36
70,24,414,383,84461.72
71,24,276,198,77874.5
72,25,84,57,1034.2
73,25,94,245,40520.3
74,25,27,451,103989.92
75,25,430,301,12413.09
76,26,378,341,655441.98
77,26,306,168,7603.92
78,27,352,428,46723.64
79,27,363,321,155478.34
80,28,238,46,18844.7
81,28,298,242,411728.9
82,29,155,61,7168.39
83,29,40,80,7181.36
84,29,205,423,32843.64
85,29,334,61,10914.19
86,30,412,66,2088.45
87,31,319,77,3742.39
88,32,201,147,420132.8
89,33,436,16,7478.62
90,33,99,14,6262.2
91,33,373,64,21961.86
92,33,101,428,67065.81
93,33,246,372,2989.22
94,34,132,255,1118515.24
95,34,91,466,106302.1
96,35,69,167,4655.56
97,35,227,89,3588.69
98,36,89,364,40214.25
99,36,14,288,55269.09
100,36,47,432,510490.44
101,36,287,288,345211.89
102,36,189,271,9218.48
103,37,497,82,20093.01
104,37,288,124,5582.67
105,37,49,228,36639.84
106,37,454,190,46287.76
107,38,456,481,66428.81
108,38,281,206,624018.65
109,39,359,261,381529.89
110,40,304,124,5506.43
111,41,282,192,168193.79
112,41,400,180,5029.71
113,41,78,482,182680.4
114,42,418,468,77710.69
115,43,152,101,60573.37
116,43,362,181,166970.48
117,44,394,86,3161.63
118,44,435,361,73044.43
119,44,62,428,91986.35
120,44,191,458,64862.22
121,45,356,348,110254.21
122,45,405,145,7378.01
123,45,52,374,1472569.23
124,45,492,413,11633.27
125,46,65,408,28106.57
126,46,234,173,5855.69
127,47,53,379,152786.29
128,47,252,254,7204.23
129,47,120,67,5562.05
130,47,204,382,176917.51
131,48,341,175,32900.32
132,49,337,402,101720.64
133,49,191,173,27042.11
134,50,212,365,1391562.35
135,50,469,318,7456.31
136,50,126,180,92517.61
137,50,108,493,26355.33
138,51,296,206,24501.48
139,51,474,264,8239.65
140,52,368,282,12371.57
141,52,253,127,7018.57
142,52,121,307,1035373.01
143,52,288,279,12374.91
144,53,248,369,26965.6
145,53,366,195,138081.28
146,54,313,195,8746.29
147,55,145,481,26580.05
148,55,150,476,88424.38
149,56,299,160,64659.75
150,56,123,437,240849.89
151,57,104,134,17915.07
152,57,410,124,22768.6
153,57,326,80,613.48
154,57,2,366,9142.52
155,58,376,385,37077.46
156,58,145,227,12925.03
157,58,109,369,11940.32
158,58,292,307,1313860.1
159,59,224,455,23794.39
160,59,349,85,3117.91
161,59,153,50,2524.97
162,59,81,16,220.33
163,59,429,426,14430.22
164,60,100,250,29091.79
165,60,135,393,676282.87
166,61,216,250,29931.58
167,61,398,182,78429.03
168,61,213,340,130873.56
169,62,32,66,8041.19
170,62,444,461,240484.94
171,62,381,319,59184.54
172,63,129,92,16635.85
173,63,164,436,7773.62
174,63,337,495,132174.13
175,63,291,293,1971382.94
176,63,348,142,10413.03
177,64,248,166,13597.72
178,64,130,226,567479.84
179,64,482,149,3517.66
180,64,395,277,33514.86
181,64,396,496,9903.72
182,65,285,215,18996.2
183,65,312,122,61242.81
184,66,270,319,12527.95
185,66,411,428,73678.73
186,66,36,254,87487.02
187,66,158,338,136816.08
188,66,235,204,18367.38
189,67,36,341,118932.77
190,67,110,148,6872.58
191,67,132,49,231886.1
192,68,45,24,2367.82
193,68,43,93,59768.43
194,68,328,43,3620.47
195,69,253,397,21890.88
196,70,48,292,10323.69
197,70,234,485,15079.59
198,71,305,53,3843.58
199,71,415,299,84360.82
200,71,423,414,39190.22
201,72,278,171,8907.79
202,73,16,14,500.97
203,73,96,394,11937.92
204,73,190,213,9913.04
205,74,434,394,79855.9
206,74,116,192,71949.91
207,74,107,369,119212.18
208,75,37,218,14937.22
209,75,214,267,56545.93
210,75,323,423,31704.6
211,76,146,310,12587.62
212,77,264,310,35363.14
213,77,221,29,6059.3
