id_custo,id_processo,tipo_custo,valor_brl
1,1,Frete Internacional,708.47
2,1,Seguro,317.28
3,1,Imposto Importação,6004.15
4,1,ICMS,5992.21
5,1,Armazenagem,828.38
6,1,Despachante,1230.56
26,5,Frete Internacional,2487865.46
27,5,Seguro,51770.06
28,5,Imposto Importação,504749.54
29,5,ICMS,637591.4
30,5,Armazenagem,3095.18
31,5,Despachante,2063.28
39,7,Frete Internacional,1665237.12
40,7,Seguro,143397.26
41,7,Imposto Importação,1367334.53
42,7,ICMS,2336127.7
43,7,Armazenagem,3256.13
44,7,Demurrage,6935.53
45,7,Despachante,3594.03
46,8,Frete Internacional,44760.81
47,8,Seguro,1449.64
48,8,Imposto Importação,17017.35
49,8,ICMS,20818.04
50,8,Armazenagem,1674.61
51,8,Despachante,2643.94
52,9,Frete Internacional,27581.3
53,9,Seguro,1302.26
54,9,Imposto Importação,43877.69
55,9,ICMS,30681.89
56,9,Armazenagem,1806.44
57,9,Despachante,1735.4
58,10,Frete Internacional,1529.06
59,10,Seguro,483.61
60,10,Imposto Importação,15703.3
61,10,ICMS,13255.94
62,10,Armazenagem,930.7
63,10,Despachante,1737.58
64,11,Frete Internacional,20289.96
65,11,Seguro,3130.24
66,11,Imposto Importação,50059.2
67,11,ICMS,47665.73
68,11,Armazenagem,3374.56
69,11,Despachante,1641.43
70,12,Frete Internacional,33333.42
71,12,Seguro,13116.18
72,12,Imposto Importação,166221.32
73,12,ICMS,176456.63
74,12,Armazenagem,4249.74
75,12,Despachante,2903.62
76,13,Frete Internacional,26049.6
77,13,Seguro,779.24
78,13,Imposto Importação,15278.29
79,13,ICMS,18391.66
80,13,Armazenagem,625.52
81,13,Despachante,2107.86
82,14,Frete Internacional,94697.77
83,14,Seguro,10087.11
84,14,Imposto Importação,200959.65
85,14,ICMS,181811.35
86,14,Armazenagem,3336.57
87,14,Despachante,1678.45
94,16,Frete Internacional,36179.78
95,16,Seguro,6129.36
96,16,Imposto Importação,116139.77
97,16,ICMS,86544.77
98,16,Armazenagem,2447.58
99,16,Despachante,1733.4
100,17,Frete Internacional,14555.43
101,17,Seguro,2359.13
102,17,Imposto Importação,60757.84
103,17,ICMS,70701.39
104,17,Armazenagem,4129.23
105,17,Despachante,2704.33
113,19,Frete Internacional,118312.31
114,19,Seguro,6724.4
115,19,Imposto Importação,141736.89
116,19,ICMS,188569.27
117,19,Armazenagem,3446.18
118,19,Despachante,3111.13
119,20,Frete Internacional,455928.06
120,20,Seguro,41534.15
121,20,Imposto Importação,533541.4
122,20,ICMS,544795.85
123,20,Armazenagem,2239.75
124,20,Despachante,4081.01
125,21,Frete Internacional,49579.09
126,21,Seguro,2921.76
127,21,Imposto Importação,43635.28
128,21,ICMS,45634.3
129,21,Armazenagem,5284.64
130,21,Demurrage,3194.76
131,21,Despachante,3466.33
132,22,Frete Internacional,677192.94
