id_processo,id_cliente,id_fornecedor,incoterm,modal,data_embarque,data_chegada_prevista,data_chegada_real,status,taxa_cambio_usd_brl,lead_time_previsto_dias,lead_time_real_dias,desvio_lead_time_dias,flag_atraso,flag_atraso_grave,ano_embarque,mes_embarque,trimestre,ano_mes,custo_total_brl,custo_armazenagem_brl,custo_demurrage_brl,custo_despachante_brl,custo_frete_internacional_brl,custo_icms_brl,custo_imposto_importação_brl,custo_seguro_brl,valor_total_usd,valor_total_brl,custo_sobre_valor,flag_cambio_alto,peso_total_kg,custo_por_kg_brl,nome_cliente,segmento,estado,nome_fornecedor,pais,lead_time_medio_dias,confiabilidade
1,103,52,CIF,Marítimo,2023-04-08,2023-05-22,2023-05-20,Entregue,5.0139,44,42,-2,0,0,2023,4,2,2023-04,15081.05,828.38,0.0,1230.56,708.47,5992.21,6004.15,317.28,9563.04,47948.126256,0.3145,0,134.77,111.9,Corp Global Indústria e Comércio Ltda,Eletrônico,RS,Schneider Electric France,Alemanha,31,Alta
5,88,30,EXW,Aéreo,2024-08-31,2024-09-09,2024-09-08,Desembaraçado,5.4619,9,8,-1,0,0,2024,8,3,2024-08,3687134.92,3095.18,0.0,2063.28,2487865.46,637591.4,504749.54,51770.06,896604.37,4897163.408503,0.7529,0,37795.19700000001,97.56,Alfa Horizonte Soluções Industriais S.A.,Eletrônico,BA,Midea Industrial,Alemanha,87,Baixa
7,58,22,FOB,Marítimo,2024-03-26,2024-04-24,2024-04-23,Entregue,5.1201,29,28,-1,0,0,2024,3,1,2024-03,5525882.300000001,3256.13,6935.53,3594.03,1665237.12,2336127.7,1367334.53,143397.26,2917506.89,14937927.027489001,0.3699,0,69588.113,79.41,Uni Inter Importações S.A.,Automotivo,PE,Foxconn Manufacturing,EUA,32,Média
8,188,80,FOB,Aéreo,2023-11-11,2023-11-22,2023-11-20,Desembaraçado,5.3829,11,9,-2,0,0,2023,11,4,2023-11,88364.39,1674.61,0.0,2643.94,44760.81,20818.04,17017.35,1449.64,25691.72,138295.959588,0.639,0,1893.052,46.68,Atlântico Corp Exportações e Importações Ltda,Industrial,AM,Sensata Technologies,Itália,15,Alta
9,15,62,FOB,Marítimo,2023-12-10,2024-01-07,2024-01-07,Entregue,5.359,28,28,0,0,0,2023,12,4,2023-12,106984.98,1806.44,0.0,1735.4,27581.3,30681.89,43877.69,1302.26,41320.149999999994,221434.68384999997,0.4831,0,2464.6130000000003,43.41,Group Vega Logística e Comércio Eireli,Automotivo,RS,ZF Friedrichshafen AG,Índia,41,Média
10,108,55,CIF,Marítimo,2024-03-23,2024-05-07,2024-05-07,Entregue,5.3184,45,45,0,0,0,2024,3,1,2024-03,33640.19,930.7,0.0,1737.58,1529.06,13255.94,15703.3,483.61,19615.98,104325.628032,0.3225,0,601.671,55.91,Nacional Capital Tecnologia e Comércio Ltda,Eletrônico,GO,BASF Chemical Germany,Japão,36,Alta
11,64,3,FOB,Marítimo,2024-02-08,2024-03-31,2024-04-11,Atrasado,5.4275,52,63,11,1,1,2024,2,1,2024-02,126161.12,3374.56,0.0,1641.43,20289.96,47665.73,50059.2,3130.24,56749.01,308005.251775,0.4096,0,1377.142,91.61,Titan Atlântico Trading Ltda,Industrial,PE,Shanghai Global Trade,EUA,40,Média
12,73,39,CIF,Marítimo,2023-05-20,2023-06-18,2023-06-17,Entregue,5.2788,29,28,-1,0,0,2023,5,2,2023-05,396280.91000000003,4249.74,0.0,2903.62,33333.42,176456.63,166221.32,13116.18,215299.24,1136521.628112,0.3487,0,2389.887,165.82,Beta Nexus Logística e Comércio Eireli,Varejo,ES,Honda Mexico Industrial,Japão,36,Alta
13,18,4,FOB,Aéreo,2024-03-08,2024-03-18,2024-03-17,Entregue,5.4107,10,9,-1,0,0,2024,3,1,2024-03,63232.17,625.52,0.0,2107.86,26049.6,18391.66,15278.29,779.24,27420.43,148363.720601,0.4262,0,136.13400000000001,464.48,Pro Centro Soluções Industriais S.A.,Eletrônico,RS,Guangzhou Industrial Corp,Índia,29,Alta
14,9,90,FOB,Marítimo,2023-07-07,2023-08-07,2023-08-06,Entregue,5.2948,31,30,-1,0,0,2023,7,3,2023-07,492570.9,3336.57,0.0,1678.45,94697.77,181811.35,200959.65,10087.11,238706.06,1263900.8464880001,0.3897,0,2895.888,170.09,Âncora Uni Logística e Comércio Eireli,Eletrônico,MT,Kubota Industrial,EUA,57,Média
